hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3)
533,22.65336644,44.33748158,0,364.8,2.87
534,23.99165038,44.21253553,0,364.8,2.87
535,26.48401827,43.71625066,0,864.5,2.87
536,29.27830887,41.23278355,0,864.5,2.87
537,32.95345338,37.50419013,0,864.5,2.87
538,34.19630755,32.51670395,0,1390.2,2.87
539,34.70368413,27.89664868,0,1390.2,2.87
540,33.56976774,25.08498947,0,1390.2,2.87
541,32.0345787,23.00126447,0,1390.2,2.87
542,32.03960877,22.17001974,0,1390.2,2.87
543,31.96838477,24.10755395,0,864.5,2.87
544,33.01860823,27.32767697,0,864.5,2.87
545,35.04133693,30.79106645,0,864.5,2.87
546,36.47835681,32.87665658,0,1390.2,2.87
547,35.81547291,33.24710724,0,1390.2,2.87
548,35.28105671,33.08730987,0,1390.2,2.87
549,34.29088718,34.4331,0,864.5,2.87
550,32.72032229,35.92666184,0,864.5,2.87
551,29.52272812,36.95575263,0,364.8,2.87
552,25.11657226,38.08499211,0,364.8,2.87
553,23.23607422,38.93090921,0,364.8,2.87
554,22.39115035,39.77586711,0,364.8,2.87
555,21.97382495,40.87441184,0,364.8,2.87
556,21.81758705,40.77298421,0,364.8,2.87
557,22.09542009,40.63285066,0,364.8,2.87
558,23.40074246,41.73134211,0,364.8,2.87
559,25.831724,43.07800263,0,864.5,2.87
560,28.55719197,38.66133553,0,864.5,2.87
561,32.14181865,34.60510066,0,864.5,2.87
562,33.35406166,30.28026908,0,1390.2,2.87
563,33.84894169,27.93736184,0,1390.2,2.87
564,32.74295335,27.15610263,0,1390.2,2.87
